emotion,alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta
0,12711.1,8641.9,2228,4417,43198.2,1651.4,1265.6,22677.2
0,4682.6,5808.5,1589.4,2871.8,28972,440.8,829.3,11808.7
0,5912.8,6002.9,1614.7,2814.1,28380.2,461.6,779.5,10461.3
0,6169.6,6017.7,1526.1,2616.3,25599.1,458.1,870.3,10447.8
0,5026,5332.8,1684.5,2780.6,15360.3,397.8,817.5,7456.3
0,5433.4,4774.8,1584.3,3013.3,16261,422.3,1022.1,7511.9
0,5738.4,4685.2,1703.8,2932.6,46706,445.2,1090.3,6920.7
0,5700.8,4212.5,1606.9,2684.7,49072,447.8,1034.4,5792.7
0,7071.9,4097.5,1584,2893.6,49853.4,478.8,1138.9,7212.2
0,6949.4,3919.9,1471.2,2618.2,61779.4,464.1,1090.1,8420.5
0,6636.9,4355.4,1411.3,2333.7,62143.1,431.9,1081.8,8443.8
0,7751.3,4008,1505.2,2274.2,61841.2,456.6,1050.8,8717.6
0,6562.4,3805.7,1549.2,2311.5,69698.2,416.9,1015.6,9289.3
0,5861.6,3202,1924.2,2130,72743.9,498.1,1082.3,9515.5
0,7677.7,9549.7,2320.7,2758.9,136545.9,1191.5,1939.4,12942.5
0,8734.7,9378.2,2446.3,2767.1,135840.9,1202.6,1802,12458.3
0,10737,8960.9,2523,2720.1,104858.5,1168.7,1800,12387.4
0,11376.4,8967.3,2593.5,3293.8,96719.9,1231.3,1831.5,14305.5
0,10420.6,10355.8,2741.2,3458.2,100554.4,1318.9,1840.2,14104.8
0,11465.1,10390.4,2823.4,3565.7,89362.8,1374.8,1957.4,13509.4
0,11459.2,11359.8,3031.5,3681.6,90598.5,1405.3,2045.3,14189.9
0,10837.2,12005,3057.3,3927.7,90992.7,1378.5,2056.1,15035
0,11663.1,12519.9,3021.7,3973,84501.4,1411.8,2066.4,15878.4
0,12237.7,12496.8,2632.9,4227.2,81148.9,1356.2,1888.4,15731
0,11268.1,5759.9,2111.3,3293.7,15645,670.5,1035.4,11672.9
0,10046.5,5959.4,2218.6,4030.2,17179.8,711.7,1071.3,14665.1
0,9418.9,5965.3,2116.6,3970.2,16539.6,801.5,1157,14373.7
0,9534.9,5994.5,2305,3835.9,16620.6,767.4,1239.5,12894.8
0,9822.4,4657.3,2235.6,3709.9,12832.2,697.8,1204.2,13139.3
0,9295,4684.9,2338.5,3922.1,20204.6,669.2,1232,16368.6
0,8897.3,3850.4,2185.2,4028.5,18589.6,664.2,1143.3,15448.1
0,9111.1,3358,2083.5,3761.3,18549.4,657,1225.7,13787.6
0,8683.1,3032.8,2163.2,3939,18706.4,734.1,1236.9,12244.4
