alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
110940,92492,33662,38906,2127502,18089,11252,218677,0,0
1255,2283,2296,4903,93159,427,3851,57789,0,0
7920,6330,5059,5403,269193,798,2015,39208,0,0
2553,6812,2514,5300,36269,701,1557,3457,0,0
21694,12746,17326,32512,390628,4591,6462,29632,53,51
18908,17911,8547,49631,127156,3564,7434,48664,70,60
1023,13794,4827,3909,402291,1137,1537,58973,77,66
2511,6863,2994,8530,134272,928,1996,9337,77,67
3103,1127,1294,6372,18346,792,577,16264,74,63
12372,1721,5050,12580,49645,1952,2105,34842,53,56
3652,466,3006,4941,24704,566,1338,37779,53,56
14903,24847,2745,9792,184916,1407,3893,72683,54,50
24750,18018,8450,52666,768528,3763,5262,67160,29,50
10983,1668,1585,5025,19676,439,1418,14167,34,53
10265,13718,15269,25718,333918,6543,10926,127640,24,60
1202,1974,2291,8449,1866,1632,1377,8541,29,61
4574,5778,1947,9238,79713,644,984,18394,57,54
6778,12654,4815,18331,25449,587,1402,16043,54,54
11239,720,22510,43454,482621,2759,10459,26283,66,53
4222,421,1965,6919,13207,543,311,6535,84,53
3518,6087,5135,3755,21909,840,1258,8379,83,57
961,1027,3059,4639,5618,689,637,7700,97,61
1729,6206,2315,9310,101837,682,1002,11553,100,50
835,3338,2155,4519,6542,545,732,6768,87,57
5775,16861,5418,10811,57149,1148,1960,38549,88,57
4572,8410,7768,10234,683438,1424,1129,65807,74,56
11939,5931,6597,13571,47092,569,1420,16758,61,57
1836,2048,1361,6638,5324,419,746,5393,64,60
24805,14271,13756,69395,507191,2728,4593,175505,60,60
6537,7123,2465,8308,151080,846,1830,30838,56,51
6312,7519,4282,3974,19947,1792,1985,3184,48,57
6819,3812,1916,12032,132396,1040,721,16881,53,64
1448,3679,5015,5023,12640,501,1779,5775,44,64
9784,16328,3016,14415,18505,922,1023,14697,67,70
15462,12194,6554,18763,961610,1527,1141,31560,70,78
4517,6578,2208,8311,9458,944,2081,9837,61,70
2191,3648,2107,7107,4704,1197,1305,13038,66,75
8406,42725,24365,53090,418495,3557,3896,127122,50,74
6423,6568,3622,4526,100383,715,1980,125204,56,64
11544,14504,24907,12297,265106,6192,4433,179231,40,51
1432,2955,1824,6299,14867,620,1311,6923,43,40
15544,12319,9629,16293,513833,3451,4634,44485,47,41
8659,52555,18724,13899,618678,5172,11882,72467,47,44
1401,5940,1177,7006,43925,570,1419,26783,66,60
3763,5709,3944,7503,117777,778,1987,99009,51,64
2052,2931,1861,6993,8246,545,903,19722,34,54
2690,2555,1993,6300,47015,986,1788,23834,26,48
3626,8597,13126,39812,445039,4316,5144,121802,17,38
38353,50786,22463,38790,170914,5677,14507,595771,27,29
3424,1202,2363,5104,6632,634,1441,8344,26,34
15185,8133,20757,55928,126709,3440,8991,85671,38,37
206,975,1770,8787,29070,1093,821,3726,51,37
3130,1314,1639,8899,2074,545,945,2974,67,38
9441,13209,3676,5527,143769,978,2432,57620,90,44
332,1282,4477,5344,22795,744,839,10909,74,47
3739,2153,3422,4574,8765,611,797,4164,81,40
19398,10232,29556,63841,331908,5931,8443,31344,81,54
5886,8423,2481,12416,229324,830,1735,10253,91,51
2494,2700,3108,11862,24299,811,2839,19407,100,54
8916,8644,14582,12153,107770,1213,3898,144881,88,60
22740,28340,19577,32173,582507,2205,12198,70766,74,48
85969,42176,36216,23677,633028,4648,5982,136858,60,53
5539,8012,2311,4741,86867,632,1883,21370,61,54
3808,4940,3187,18245,17647,802,1017,4968,54,63
1138,6164,3804,9687,74936,1030,1231,49132,64,74
1839,1114,808,2121,121327,127,764,11939,54,63
552,3681,3924,2688,9911,956,1659,24957,43,53
4092,1688,2367,6064,7466,665,2374,8690,51,43
44505,46876,27503,85868,787736,7149,6247,222161,48,43
21103,5950,23834,35083,1114522,3179,5896,246404,51,50
9677,4169,2173,8662,5185,606,1305,7405,56,43
3890,1716,3314,11367,5237,443,700,4646,53,56
2181,4444,2039,7486,10892,318,1038,7102,60,54
23909,34866,11213,37881,586303,4111,5463,69034,66,57
2252,5199,2033,10719,18694,652,1232,17493,66,70
8264,16637,16062,13636,37698,3048,13829,31537,63,63
12094,52516,5450,55394,664258,1629,6151,164514,63,66
18820,36363,4190,18332,20354,696,869,48004,41,64
8630,6789,2390,23492,49268,962,581,31850,35,67
3968,5786,1412,10847,32181,826,1284,11091,27,67
2873,1227,6699,20718,10484,495,1684,15146,11,67
5606,2674,2014,6070,31889,536,872,36993,43,60
2154,4338,1187,7073,31112,719,2955,6978,43,50
7062,14452,3046,2807,377379,960,2212,12771,50,53
2642,4436,1733,9737,3951,1017,1046,21873,51,60
30409,42230,14901,15726,626365,2115,10504,68504,29,64
1159,2589,1193,2971,31666,525,363,20912,40,75
3841,8244,1333,6831,70304,1603,1477,51991,34,66
7320,716,4869,3635,293836,940,1554,27006,16,53
1320,444,1032,4444,169156,225,493,24187,26,54
1938,2827,6291,15351,8868,518,1549,17201,16,35
6188,9166,1360,5777,9233,709,1813,7113,38,35
1626,7771,4863,8196,87240,1140,3390,123315,51,48
1152,562,6295,11128,13731,574,699,5735,35,38
474,130,2581,9604,2091,832,868,6102,64,40
4266,802,1459,6171,7700,463,1259,6251,64,29
5602,6425,1312,10726,108503,1199,1253,16486,70,21
3389,7107,1586,10882,41427,786,1605,4867,75,35
2846,3570,2614,7801,18334,1054,1745,9374,51,51
20350,21671,18040,56259,721636,2299,5605,67161,41,69
2569,1384,10593,30524,615620,2338,5065,34380,44,67
2229,2907,1716,10985,77461,348,1372,5085,63,51
10715,25266,4129,10760,29037,916,2593,24890,69,47
1185,1415,2759,16846,67499,1362,812,3450,61,54
5177,2148,896,6105,28030,581,1064,8854,74,47
