alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13,54
0,0,0,0,0,0,0,0,0,0
41059,39240,5564,15984,167781,9810,5811,67834,0,0
3623,1148,2165,4188,1446,481,378,3752,0,0
48683,11756,23849,31487,749846,4537,8580,57766,0,0
1784,2732,1556,2200,16523,414,785,13112,0,0
5052,9675,2117,12206,49664,655,1153,21978,0,0
2360,4622,1541,16324,59481,721,1902,39273,30,47
5482,5567,2035,5061,30953,506,715,10341,14,27
886,1917,1829,1429,97070,262,214,30476,13,48
29813,23782,27782,59631,1340259,2972,4798,124790,1,29
330,3669,677,1597,11894,666,1145,10195,16,26
3950,4911,1180,6713,18653,688,1547,8133,21,54
7812,4185,5024,6261,25380,699,1144,29778,16,53
4559,3001,1362,9263,9010,284,473,13987,27,77
2205,985,1271,5679,4503,860,756,6116,13,78
3006,1876,1070,1041,7156,274,949,3599,27,74
287,1209,2070,3367,5370,477,641,5617,37,78
2032,1937,1970,4693,134937,702,1527,15398,53,64
2203,6058,3145,2000,10734,512,1318,15041,60,56
2141,1658,1921,6338,8633,874,1043,11090,61,64
6956,381,1986,5623,186808,1017,909,29878,63,40
9083,21450,3063,9545,48719,719,606,44989,35,47
27389,17745,4454,23470,1075097,1687,1939,49399,20,61
1821,6337,2813,6022,35742,526,475,7343,4,66
5878,4177,1478,5192,25779,435,700,8792,7,83
8082,12547,6888,7809,227538,1866,5655,52636,11,100
1920,1355,1742,3600,17589,1214,1254,4584,26,93
887,2661,1539,2042,3934,280,1281,9485,48,83
2405,6074,3693,3112,6067,640,1006,8022,44,70
12700,26770,10871,34396,476176,1450,7457,35356,60,70
783,1788,1848,7125,5153,1092,926,14125,64,81
21348,14936,8616,28886,287547,3940,3209,149711,54,63
3161,1092,1612,7258,106363,2669,839,17022,40,56
1046,12267,6291,6952,32099,761,1116,99979,24,37
3281,2254,3154,5507,10993,848,2512,19786,11,13
17355,43074,10980,36820,515063,2249,3709,12823,14,21
16209,14693,4096,9373,134100,3787,4111,129653,30,47
4441,10492,3200,2069,12351,693,1076,5479,17,50
2893,8200,3409,4851,45644,862,1605,6697,37,83
