alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
62568,75213,11244,48176,1177695,12752,17207,100987,0,0
19263,8904,15503,6314,429030,9542,17385,34183,0,0
16516,31083,14559,17728,451399,5660,12153,74106,0,0
25907,10008,17680,11896,2111494,9950,27274,72745,0,0
47455,36876,16243,40358,163264,4977,11660,275431,30,30
29493,23217,8078,12733,500982,5381,5441,84996,24,44
29102,25332,4732,5593,672954,387,664,80473,13,61
13563,12607,8059,10531,355083,530,822,482352,1,43
2451,3204,1485,953,166447,277,515,25668,1,56
7644,23343,4086,1897,105176,854,1066,286693,1,40
6896,10906,3432,2182,240507,598,812,57262,1,40
18108,15890,9192,8248,911923,1355,2381,88162,1,35
3469,3053,2999,6403,44042,525,2488,12981,24,63
1333,926,505,2021,206229,83,216,8281,29,69
10020,13777,2722,10470,70762,744,3855,65473,20,66
14182,6325,3863,5795,77904,1226,2001,17895,16,80
49764,20120,23323,16976,181321,4450,4756,517670,26,75
7828,13086,1285,3944,456005,471,741,30846,20,88
3048,3540,763,2142,6226,342,668,3923,27,100
8715,13502,926,7005,301605,328,819,39705,7,91
14114,24004,6718,16489,40963,1640,2497,17714,17,100
922,350,1699,3433,6487,319,529,10347,38,87
922,1446,585,1312,130306,94,138,3683,43,77
283,10457,700,5122,9514,386,837,2797,56,87
4327,13170,1314,2418,172929,473,603,56435,35,69
21627,20120,18454,48262,489114,4509,3209,54094,38,90
8030,6910,4893,6321,34598,1137,1517,41314,37,81
18353,17812,3610,3807,181681,353,1095,80939,30,69
1798,2418,752,2094,99608,73,269,8129,44,74
20807,39345,8896,17894,49293,2593,2035,69142,34,81
2598,4191,2260,1873,30269,645,395,6380,40,93
13169,17041,4336,4838,361860,723,1860,84552,43,90
8388,1093,2169,3042,18245,392,1051,15336,48,90
18017,10601,3502,29286,47834,1745,4271,21466,48,87
45186,10321,31573,19329,1800237,3929,6875,320017,40,67
6346,34454,25262,15635,184690,3501,4494,242309,50,56
21804,48992,10126,48276,2254862,5963,11881,487408,30,38
4079,19851,2941,7020,48325,1344,2065,84669,20,27
5813,19733,2866,4267,1020400,1363,1008,34695,13,47
2610,6658,1387,2202,5209,521,1395,946,17,75
3992,1932,1644,1889,62510,333,472,70595,20,66
6607,292,2644,4447,7153,1140,1049,14438,37,66
3540,2727,1235,3145,96995,202,449,15380,40,53
15455,10140,712,6096,21414,972,893,30294,13,40
3679,6174,2100,3364,5742,1144,958,4655,35,80
2503,12561,2783,9674,297217,615,916,64184,29,74
685,737,584,1552,1862,512,629,2109,60,66
3160,1937,4895,3011,14503,1113,588,26074,60,44
5964,405,2588,9408,9209,649,1037,15576,74,47
7076,2086,2454,2169,29101,721,1247,47790,61,27
6494,5868,1955,9919,3013670,293,271,11332,54,35
7994,4367,2762,6033,9294,343,586,5459,54,54
6753,6976,6533,4086,6977,1758,1878,43109,53,56
16260,44874,17601,28528,883242,4049,3560,241207,40,53
6326,4486,6437,6550,15349,719,4184,43030,37,37
4197,5419,7545,10758,6528,1010,1167,57493,35,27
3840,821,1904,2123,42704,333,768,42028,43,14
4694,1296,1171,3585,33086,212,296,2042,54,30
15647,7174,4202,6054,20592,1700,1022,14331,54,48
2690,2368,617,1617,102023,853,616,107501,29,38
1169,987,1738,3735,17527,813,413,6674,50,44
4092,7959,4485,9719,2120,815,1527,25297,51,35
11544,10621,1711,12244,6576,882,2709,18115,44,30
1894,1485,765,1118,110356,289,732,15649,63,48
1633,4179,1394,7054,2032,1537,883,22065,50,48
3078,11778,1531,3417,50183,249,885,27006,40,51
5685,23268,3924,8313,6066,944,668,41886,41,50
4102,9534,5779,8204,8048,750,1421,4287,61,64
11730,2678,3779,6988,17628,1124,765,10209,70,80
8381,5740,2140,3981,826,1243,1681,15609,78,83
686,435,564,1179,3849,170,154,1304,91,80
2598,19517,6681,10090,13569,1373,488,27505,83,75
12183,9028,2530,4436,28331,977,1217,22421,75,75
6536,4465,9756,3978,6754,1009,945,11963,91,69
8784,589,4146,1542,334725,733,576,50973,80,61
3200,26058,941,2207,144528,351,578,32075,60,67
5025,338,4499,8549,12266,563,1733,3943,80,57
27705,35456,6796,7117,143295,1630,2966,58860,61,66
1458,5158,3203,11989,23320,1075,1369,15770,67,67
17061,11380,3406,4719,22704,1025,2400,32658,80,64
3188,3768,5685,4131,7707,1131,615,23806,69,60
26739,4599,11429,11905,168074,821,2541,98316,75,47
4339,3689,2761,2811,10125,934,920,9462,75,57
9533,3005,2902,3895,8952,580,773,30014,77,51
9643,8653,6720,20819,46671,1655,1081,70276,69,51
9543,5851,3809,2713,806962,414,844,39398,66,53
575,518,439,346,12740,247,117,2451,64,50
5738,2889,2526,7380,5175,1393,985,42246,61,41
9827,12788,16395,15715,18866,1861,4059,56323,70,44
2013,75,1177,1361,125120,67,157,12351,74,37
8175,5767,4790,9674,12281,1891,2055,17932,75,38
5055,6342,3197,7108,5770,1411,1531,7150,87,51
1682,3250,996,2005,4905,244,587,10390,75,54
3706,3912,3090,3523,69639,288,456,44053,74,54
5646,6074,2329,4153,4279,896,1410,13978,67,57
2346,14428,1872,11260,14850,1105,1265,31226,54,54
11197,14637,1044,3394,230568,246,332,20399,47,64
4746,4560,3333,3714,16006,1374,2032,19962,51,75
3765,1992,3026,2017,2449,3163,2937,20581,53,64
11221,9607,3927,4184,11529,927,1847,11034,63,75
3936,1389,1182,3246,98332,134,609,32119,66,54
16511,26226,9218,11227,6221,1565,1365,23897,67,64
6454,7601,2301,3903,3523,1230,1737,5048,67,84
11627,2445,3203,4301,539,1472,706,6255,69,83
5064,2635,3781,4702,7790,952,1489,24685,83,88
31502,4658,9402,24821,707923,1209,3015,199909,70,66
5298,31897,7371,4372,8046,1578,1812,5977,75,70
9374,1894,5454,2921,7760,1857,2445,13175,78,64
3787,8515,1929,4623,7717,967,1548,7765,77,80
12711,6737,2220,12366,5421,1194,987,10879,83,97
12064,4973,5978,3554,9545,1095,1545,7811,84,91
3545,6694,1203,2288,71073,267,300,55223,61,78
1833,8901,1779,4877,2879,1110,788,11941,57,70
13952,23656,5499,9073,9338,682,1902,11228,63,80
3287,4108,10965,4877,25012,647,1144,12524,100,74
16633,6745,6925,10350,61174,5020,6473,35200,100,70
4853,8462,5315,1609,37114,2232,2778,4900,100,69
1459,1192,473,231,38417,50,117,6616,88,69
11350,10486,3049,12469,10577,7711,3277,6602,74,83
5418,14335,3869,10599,14681,1979,1801,36622,69,81
23818,11038,4864,4977,98457,1978,2527,44316,54,75
7640,5183,3636,3010,12027,2795,1525,9846,66,81
11697,5492,9643,9307,904307,963,2312,200384,57,54
1188,698,609,1638,2121,870,1606,3335,61,53
8636,6166,1884,5317,3947,1050,2460,10005,63,56
3456,10584,4591,7460,3047,1120,1210,9014,64,56
12382,2577,2972,2954,3890,1046,859,13268,74,81
6134,13932,6783,8095,6811,1885,4278,18489,77,84
1742,1482,3583,7772,7331,1107,1766,3728,93,69
4134,12066,2373,5658,49085,618,493,22575,83,67
3870,6541,4062,7140,15848,1840,901,44699,81,53
1698,5170,1728,5341,22355,1547,1961,5117,60,69
7453,6337,7067,3334,543838,2853,2810,72996,63,56
538,1122,490,569,103239,125,382,25464,50,44
3071,10430,3641,11589,12584,1723,4654,28052,53,34
6172,13141,3283,10160,8496,877,2543,30186,47,30
9335,4109,2358,6417,17708,3599,1980,33194,41,38
2959,9112,1852,4379,39133,137,2513,51033,47,51
7511,9810,8667,5738,81844,6566,3218,81543,47,44
11049,11319,2053,2899,371432,1486,3085,98597,35,37
5834,5555,2731,9290,103850,2051,1437,63329,30,27
33435,46896,7252,7930,1313008,2133,3106,140115,34,48
