alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
140601,161595,11294,69570,849815,40565,12655,283224,0,0
7995,3924,2499,3644,37236,407,310,19708,0,0
3887,4200,2072,2128,17747,265,672,23458,0,0
11329,5295,2998,10865,446103,971,2008,58194,41,30
10211,354,1086,1686,4210,358,1291,10115,50,44
3744,1440,1206,1420,4687,494,261,9760,66,44
3836,1995,791,2033,4959,513,393,8360,75,50
4528,1524,2133,1908,49309,617,859,12543,94,54
4264,6526,1385,4580,16919,645,634,32636,84,35
15382,22397,14810,19923,1202596,2252,11707,196492,81,17
943,1487,1815,2461,3429,423,537,4343,94,7
1468,9741,1118,2809,25454,207,350,13544,96,40
6879,3130,1502,6614,58480,541,748,14146,90,57
3335,3532,796,4156,3887,361,784,2167,75,80
12068,1489,856,1734,29572,705,1125,20891,44,70
7553,3630,1467,3316,21092,177,470,13133,50,70
5190,6626,1055,5644,41387,258,453,52218,30,56
6155,5303,1854,859,18119,745,1145,10825,30,53
7814,4661,3270,9079,19357,2150,2862,18764,56,44
5293,10046,2296,957,5533,505,2160,11875,77,74
5821,1219,2528,2943,165981,570,2313,13282,81,57
9261,3145,1097,1948,4516,491,1006,5996,60,87
1060,162,1632,371,60432,159,516,980,75,70
4141,3527,1255,2678,20651,539,508,10672,61,77
7773,9247,2247,1692,87820,399,936,51506,57,61
5529,1517,1369,2158,16669,307,597,13664,53,40
2709,1724,2621,2333,43476,279,739,33745,29,20
4231,11191,2187,1503,24800,814,637,11534,30,34
1582,3153,676,2072,2574,194,1344,2843,41,53
5510,1782,1479,1338,6381,980,922,12621,43,56
1598,3207,733,4322,31458,902,1280,23812,34,63
7977,15328,2359,12026,113646,1049,1696,20357,29,54
2093,3682,4447,6502,14548,977,3411,12515,40,34
8765,9906,11624,5804,624208,1181,3144,88821,44,20
1785,3253,1859,2135,4443,162,751,6921,63,37
1186,623,704,893,5230,251,666,3455,70,27
28853,16194,8281,19584,288373,10782,6178,38909,63,41
3121,1526,2702,3833,24362,877,2184,32865,57,35
6790,1467,1786,3103,38770,604,1065,9062,53,40
8413,3751,2198,3651,36684,299,299,6844,51,54
7048,557,2137,4028,19584,251,1574,12803,51,47
6063,1502,1815,3139,38997,491,535,27117,50,56
9508,6762,13369,18925,559724,2116,9114,67338,54,35
4907,9816,2365,3065,9852,506,663,14313,51,30
22829,1692,1844,1698,8507,598,759,6678,43,54
10271,10163,2358,3561,47117,521,1417,38163,26,83
1809,5362,1213,2041,15840,478,358,7839,26,78
9893,5082,3024,1193,7168,266,377,4751,35,75
5540,12531,1680,1246,62691,265,269,22263,38,75
3492,2334,786,1034,13642,448,926,12738,38,70
2186,1973,1806,1755,6202,186,771,11213,41,60
3836,5658,1164,2167,9933,227,836,12216,30,44
3123,3843,1727,1319,12810,732,2946,7949,41,43
2943,2044,2523,1942,2658,772,663,5000,60,47
12528,193,1490,4137,42948,369,603,27764,48,50
5447,2572,1843,3193,8498,388,1132,13202,53,47
4275,1427,1380,1759,2914,443,924,11129,48,40
2674,3635,2194,1752,12328,498,906,6513,44,43
4601,6882,1474,2542,7065,587,752,9392,51,54
4673,2660,1168,3487,6968,493,1257,8609,48,57
5736,9354,3249,2247,18772,402,827,42335,44,54
3231,6604,1484,2738,22839,371,563,26385,30,47
829,2654,1300,4794,7832,709,680,5246,38,30
2689,2841,2101,1774,5326,479,482,4900,50,30
3386,2946,1325,793,3375,155,1052,9220,53,38
5762,1138,1412,1795,3703,426,1145,13697,57,41
763,5105,2104,2238,70966,386,1110,34480,48,30
8976,14485,5929,7046,985491,2711,8181,58591,38,23
6864,8939,4458,3099,193862,1272,1735,24950,41,21
3611,4863,2105,2778,22667,628,549,25800,40,17
1828,3639,1404,4065,8698,505,660,5574,48,35
3619,3284,1144,4790,6826,501,590,10111,48,40
3280,5355,2645,2476,13370,1776,1099,11461,50,40
4345,2349,2060,2067,7573,958,2913,10426,56,44
12597,7526,3232,3322,172078,396,870,80207,41,35
4679,2559,1471,3221,7339,455,2145,4036,48,43
6680,2937,1846,1283,19211,1653,1237,14762,43,44
1115,994,1803,2033,77360,497,1256,20535,38,24
4460,691,1952,3328,9294,958,1379,7741,56,35
3999,5188,1752,2325,11492,335,868,11063,53,30
3309,887,1228,2951,3732,382,1800,13331,51,21
7479,15822,3902,2859,14226,584,417,13576,54,54
2653,3662,2809,2593,23413,532,1383,10324,53,54
3427,3060,1221,868,6344,318,2052,21190,47,43
20063,3461,1081,3225,9464,341,1804,17580,37,63
11855,2467,1957,2877,12871,354,1180,10382,34,60
5512,2254,1286,4142,5383,1345,538,6490,27,67
22101,6029,1370,3892,7354,554,864,30849,21,81
12880,4270,15131,21822,423734,3219,8893,44853,43,61
5033,5442,2001,1132,21400,1076,365,9228,47,60
4412,8915,3524,7803,9736,591,1242,14818,50,56
5184,1142,1499,2271,2851,1011,1514,6558,66,53
9279,3662,1641,2209,12005,962,1373,6383,54,77
2485,9401,1514,2743,70034,1853,1316,36094,41,70
4369,6785,1707,2415,8642,379,2182,11850,37,74
4122,7174,1452,2973,141972,773,1092,14247,34,63
9868,3304,1300,4723,4015,1496,1927,22781,21,50
2948,4911,1060,2105,9686,295,1090,5288,34,64
5530,1725,2405,1212,13634,264,1026,6466,43,66
5010,2634,1420,1691,11356,858,1828,10040,47,66
4436,4898,1656,1295,13196,554,592,17141,51,69
10120,3748,1796,1966,9846,358,535,11199,50,69
1937,5176,2022,3973,38818,382,1294,26258,38,51
14333,27551,9071,6717,392052,1279,1740,24766,41,60
3074,2578,2276,2424,4812,561,834,3897,54,63
8240,3040,1048,1748,2624,527,1297,4822,63,96
2291,6195,854,5361,46302,874,866,24735,47,78
1484,927,1774,1701,10136,535,669,5478,44,66
5416,3630,2983,7975,30431,810,820,37312,38,40
